company_id,story_id,title,url,points,num_comments,created_at,matched_query
abbot,27974077,"Launch HN: Abbot (YC S21) – ChatOps as a Service, inspired by GitHub's Hubot","",143,36,2021-07-27 12:07:47,"""Abbot"""
abbot,26252880,"Show HN: Abbot, a powerful ChatOps tool for your team",https://ab.bot,9,1,2021-02-24 12:37:07,"""Abbot"""
aerotime,33876746,Show HN: Aerotime Rewind – A Spotify Wrapped for your calendar,https://aerotime.com/rewind,6,2,2022-12-06 02:12:25,"""Aerotime"""
algofi,30701792,Launch HN: Algofi (YC S21) Lofty (YC S19) Crypto as Collateral to Buy Property,https://www.lofty.ai/blog/now-use-crypto-as-collateral-to-buy-investment-properties,11,1,2022-03-16 13:45:30,"""Algofi"""
atla,45809522,Why your AI evals keep breaking,https://www.atla-ai.com/post/why-your-evals-keep-breaking,6,1,2025-11-04 05:47:21,"""Atla"""
blackoaktv,28087309,Launch HN: BlackOakTV (YC S21) – Netflix for black people,"",377,741,2021-08-06 10:05:43,"""BlackOakTV"""
blyss,35153344,Launch HN: Blyss (YC W23) – Homomorphic encryption as a service,"",206,75,2023-03-14 11:42:48,"""Blyss"""
blyss,35047204,"Show HN: ""Have I Been Pwned” with homomorphic encryption",https://passwords.blyss.dev/,5,4,2023-03-06 15:36:13,"""Blyss"""
briefer,41045834,"Show HN: Briefer – Multiplayer notebooks with schedules, SQL, and built-in LLMs",https://briefer.cloud/launches/notebooks/,265,74,2024-07-23 09:30:32,"""Briefer"""
briefer,43895890,How linear regression works intuitively and how it leads to gradient descent,https://briefer.cloud/blog/posts/least-squares/,334,101,2025-05-05 11:05:33,"""Briefer"""
briefer,44308328,P-Hacking in Startups,https://briefer.cloud/blog/posts/p-hacking/,306,141,2025-06-18 05:56:28,"""Briefer"""
briefer,40646312,Self-Serve Dashboards,https://briefer.cloud/blog/posts/self-serve-bi-myth/,259,85,2024-06-11 10:04:36,"""Briefer"""
briefer,41500506,Going open-source as a VC-Backed company,https://briefer.cloud/blog/posts/open-source-strategy/,159,83,2024-09-10 09:16:28,"""Briefer"""
briefer,40296734,Logarithmic Scales,https://briefer.cloud/blog/posts/logarithms/,89,35,2024-05-08 07:25:49,"""Briefer"""
briefer,40144640,"What p-values are, what they are not, and how to sell books with bad statistics",https://briefer.cloud/blog/posts/p-values/,8,0,2024-04-24 10:14:41,"""Briefer"""
briefer,44107224,Confidence Intervals,https://briefer.cloud/blog/posts/confidence-intervals/,7,0,2025-05-27 10:13:28,"""Briefer"""
briefer,40706766,"What p-values are, and how to sell books with bad statistics",https://briefer.cloud/blog/posts/p-values/,5,0,2024-06-17 11:41:13,"""Briefer"""
