company_id,event_date,event_type,detail,source,source_url
100x,2022-06-26,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/100x
10x,2025-01-06,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/10x
10x-science,2026-01-13,yc_listed,Listed in YC directory (Winter 2026),yc,https://www.ycombinator.com/companies/10x-science
14-ai,2023-11-24,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/14-ai
1849-bio,2024-07-09,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/1849-bio
1stcollab,2022-12-21,yc_listed,Listed in YC directory (Winter 2023),yc,https://www.ycombinator.com/companies/1stcollab
21st,2025-12-11,yc_listed,Listed in YC directory (Winter 2026),yc,https://www.ycombinator.com/companies/21st
222,2022-11-17,yc_listed,Listed in YC directory (Winter 2023),yc,https://www.ycombinator.com/companies/222
6thsense,2026-06-26,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/6thsense
83-sciences,2026-07-06,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/83-sciences
9-mothers-corporation,2026-03-01,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/9-mothers-corporation
a0-dev,2025-01-19,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/a0-dev
a1zap-by-a1base,2025-02-21,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/a1zap-by-a1base
abacum,2021-02-17,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/abacum
abacum,2025-06-12,funding,"Form D filed ($43,265,849 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1856882/000192975225000003/primary_doc.xml
abacum,2021-04-20,funding,"Form D filed ($6,708,060 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1856882/000185688221000001/primary_doc.xml
abatable,2021-07-06,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/abatable
abbot,2021-07-27,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/abbot
abel,2023-12-19,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/abel
abel-police,2024-08-29,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/abel-police
abhi,2021-07-16,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/abhi
abinitio-bio,2026-05-13,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/abinitio-bio
abstra,2021-07-07,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/abstra
absurd,2025-10-14,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/absurd
abundant,2024-11-18,yc_listed,Listed in YC directory (Fall 2024),yc,https://www.ycombinator.com/companies/abundant
accend,2023-08-09,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/accend
accessowl,2022-06-21,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/accessowl
acolite,2025-05-13,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/acolite
acrely,2025-07-14,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/acrely
actipulse-neuroscience,2022-01-25,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/actipulse-neuroscience
activepieces,2022-07-06,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/activepieces
acx,2024-07-25,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/acx
adam,2025-01-16,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/adam
adapted,2023-12-12,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/adapted
adaptional,2025-09-23,yc_listed,Listed in YC directory (Summer 2025),yc,https://www.ycombinator.com/companies/adaptional
adaptyv,2021-08-05,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/adaptyv
adentris,2025-04-28,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/adentris
adialante,2026-03-16,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/adialante
adni,2021-06-29,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/adni
adravision,2021-07-09,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/adravision
adri-ai,2023-01-24,yc_listed,Listed in YC directory (Winter 2023),yc,https://www.ycombinator.com/companies/adri-ai
advanced-metal-research,2026-05-14,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/advanced-metal-research
advantage-club,2021-06-25,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/advantage-club
adventris-pharmaceuticals,2023-01-31,yc_listed,Listed in YC directory (Winter 2023),yc,https://www.ycombinator.com/companies/adventris-pharmaceuticals
aedilic,2024-03-18,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/aedilic
aegis,2025-04-30,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/aegis
aemon,2026-02-25,yc_listed,Listed in YC directory (Winter 2026),yc,https://www.ycombinator.com/companies/aemon
aer,2021-08-03,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/aer
aerotime,2021-03-04,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/aerotime
aether,2024-03-03,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/aether
affil-ai,2024-08-18,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/affil-ai
affinity,2023-07-13,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/affinity
affogato-ai,2021-07-13,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/affogato-ai
aftercare,2024-02-29,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/aftercare
afternoon-co,2024-11-01,yc_listed,Listed in YC directory (Fall 2024),yc,https://www.ycombinator.com/companies/afternoon-co
afterquery,2025-01-30,yc_listed,Listed in YC directory (Winter 2025),yc,https://www.ycombinator.com/companies/afterquery
agape,2022-07-11,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/agape
agave,2022-01-18,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/agave
agency,2022-01-07,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/agency
agendapro,2021-03-07,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/agendapro
agentcard,2026-06-05,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/agentcard
